geneID,DFB,DFB,Fe,Fe
Ga0401699_0010018_325_450,6,20,4,0
Ga0401699_0010018_4247_4474,18,34,6,9
Ga0401699_0010018_5933_6352,3,5,0,0
Ga0401699_0010024_2_7429,216,116,5,8
Ga0401699_0010102_57_7226,37,26,4,0
Ga0401699_0010228_102_7493,29,20,0,0
Ga0401699_0010239_162_7457,52,23,0,2
Ga0401699_0010363_1_6411,40,27,0,0
Ga0401699_0010388_6_7406,32,26,0,0
Ga0401699_0010419_49_7368,50,23,4,2
Ga0401699_0010450_64_7428,95,36,0,1
Ga0401699_0010506_604_2070,11,33,57,50
Ga0401699_0010543_13_7416,41,23,0,0
Ga0401699_0010778_2962_7272,25,13,0,0
Ga0401699_0010911_3593_7141,37,7,1,2
Ga0401699_0010922_180_7310,149,103,3,9
Ga0401699_0010981_14_7294,56,16,2,0
Ga0401699_0010982_895_7275,25,21,1,0
Ga0401699_0010992_240_7280,144,50,0,1
Ga0401699_0011017_114_4544,7,7,150,133
Ga0401699_0011204_1292_2716,205,93,482,673
Ga0401699_0011204_2731_3132,69,41,197,227
Ga0401699_0011257_3_6959,28,17,0,1
Ga0401699_0011260_1426_7041,49,12,1,0
Ga0401699_0011280_2_7132,22,5,0,0
Ga0401699_0011300_6_7172,24,40,0,3
Ga0401699_0011326_3_6914,106,29,0,3
Ga0401699_0011393_2_7012,20,14,0,0
Ga0401699_0011408_86_7162,114,41,0,0
Ga0401699_0011441_1478_2938,26,24,202,188
Ga0401699_0011441_3317_7135,241,304,781,676
Ga0401699_0011520_2_6835,284,247,53,67
Ga0401699_0011611_87_7115,112,35,0,0
Ga0401699_0011675_1402_2142,51,33,0,0
Ga0401699_0011675_2424_3263,26,30,0,0
Ga0401699_0011675_4907_5272,44,56,2,1
Ga0401699_0011675_5353_5580,41,34,0,0
Ga0401699_0011768_850_7077,97,45,2,0
Ga0401699_0011814_1_7062,59,43,6,7
Ga0401699_0011825_1255_6951,39,14,0,0
Ga0401699_0011864_216_6983,13,27,0,0
Ga0401699_0011898_131_7042,38,19,4,2
Ga0401699_0012031_22_6735,35,19,0,1
Ga0401699_0012043_1_6756,32,17,0,0
Ga0401699_0012148_1_6972,73,58,10,7
Ga0401699_0012157_210_6668,39,30,6,1
Ga0401699_0012290_59_6877,41,32,1,1
Ga0401699_0012320_103_6876,47,15,0,0
Ga0401699_0012387_108_4268,31,20,0,0
Ga0401699_0012512_1637_3175,779,584,8,2
Ga0401699_0012512_26_805,206,232,2,5
Ga0401699_0012512_3312_4790,188,201,1,2
Ga0401699_0012512_5409_6605,174,140,3,3
Ga0401699_0012512_795_1604,273,222,3,0
Ga0401699_0012563_3_6842,12,14,3,2
Ga0401699_0012673_275_6856,100,43,9,11
Ga0401699_0012808_2347_3684,8,31,0,0
Ga0401699_0012808_3764_5344,58,170,6,10
Ga0401699_0012808_498_1271,8,13,1,0
Ga0401699_0012942_4_6663,27,30,78,74
Ga0401699_0012967_14_6790,73,65,10,3
Ga0401699_0013093_155_940,63,26,55,55
Ga0401699_0013121_1_6756,82,33,5,1
Ga0401699_0013187_77_6628,91,64,5,8
Ga0401699_0013225_200_6502,168,66,1,2
Ga0401699_0013237_2057_6490,76,53,5,4
Ga0401699_0013253_3692_4483,356,258,47,29
Ga0401699_0013253_4817_6307,587,467,45,53
Ga0401699_0013253_701_1858,115,85,8,9
Ga0401699_0013253_75_653,71,65,6,5
Ga0401699_0013346_5222_6247,128,67,13,14
Ga0401699_0013353_1_6690,33,21,2,2
Ga0401699_0013358_4467_5252,51,19,93,82
Ga0401699_0013645_229_6534,247,204,33,20
Ga0401699_0013654_1454_2032,18,13,0,0
Ga0401699_0013654_252_1400,15,30,0,2
Ga0401699_0013654_3841_4632,51,42,0,0
Ga0401699_0013654_4965_6455,104,104,1,0
Ga0401699_0013688_151_6606,30,11,0,0
Ga0401699_0013705_36_6536,78,52,0,0
Ga0401699_0013868_17_5014,8,4,0,0
Ga0401699_0013904_3_6536,50,24,0,2
Ga0401699_0013940_40_6588,98,32,8,7
Ga0401699_0013967_1228_1674,16,30,297,296
Ga0401699_0014045_51_6566,23,42,0,1
Ga0401699_0014073_1997_6559,84,36,2,4
Ga0401699_0014233_17_6526,682,265,19,11
Ga0401699_0014335_628_6435,56,44,11,2
Ga0401699_0014336_3754_4191,58,42,211,218
Ga0401699_0014620_3610_4236,20,12,135,57
Ga0401699_0014683_2080_2655,0,12,0,0
Ga0401699_0014683_4000_6012,19,79,8,0
Ga0401699_0014728_106_6342,5,1,94,136
Ga0401699_0014729_1419_3488,50,34,0,0
Ga0401699_0014729_3554_4171,29,6,0,0
Ga0401699_0014729_391_1404,27,12,0,0
Ga0401699_0014729_4325_6340,54,33,1,0
Ga0401699_0014766_195_6425,48,18,0,0
Ga0401699_0014795_2_6421,120,60,5,5
Ga0401699_0014796_19_6423,1,0,4,0
Ga0401699_0014804_215_394,160,184,597,369
Ga0401699_0014858_2271_2636,123,67,17,5
Ga0401699_0014858_2765_3520,254,415,43,38
Ga0401699_0014858_3569_4267,372,519,41,57
Ga0401699_0014858_4565_5722,329,398,40,51
Ga0401699_0014858_5771_6373,115,171,20,8
Ga0401699_0015021_35_6379,24,13,0,0
Ga0401699_0015043_760_6009,45,48,5,2
Ga0401699_0015093_9_6311,89,59,9,12
Ga0401699_0015107_226_6339,147,52,8,11
